HHNR,hhtyp,W_OEV_KLASSE,W_BFS,W_X,W_Y,f20601,hhgr,f30100
0,1,8,7,2672856,1234872,5508,0,9
1,3,4,0,2631057,1197711,9751,1,6
2,1,9,7,2660190,1233481,2162,2,1
3,1,5,4,2631460,1244965,5962,3,6
4,1,7,7,2664464,1230813,6773,4,4
5,10,0,2,2623593,1212820,3338,5,7
6,1,9,7,2631237,1236799,-203,6,5
7,1,3,9,2608672,1186265,-123,7,4
8,10,5,2,2644493,1192124,6752,8,0
9,1,7,6,2643521,1235417,6769,9,8
10,1,9,8,2686445,1153296,7059,10,8
11,2,6,6,2668382,1205253,9095,11,4
12,230,9,3,2631959,1151979,2248,12,8
13,3,6,4,2680590,1163600,4880,13,7
14,1,5,5,2642028,1188014,1618,14,2
15,230,1,5,2638033,1234963,5311,15,8
16,230,2,1,2627697,1189994,-369,16,2
17,2,8,1,2628401,1218475,6578,17,5
18,1,8,7,2695489,1165014,1086,18,1
19,1,4,3,2660612,1217148,3171,19,1
20,2,3,6,2637779,1197000,7231,20,5
21,1,9,0,2629544,1201500,4631,21,4
22,2,0,8,2648094,1158444,7028,22,6
23,3,5,3,2611887,1186339,4880,23,2
24,10,7,7,2683364,1176609,1028,24,6
25,2,3,5,2620061,1239888,8403,25,0
26,2,1,3,2636876,1184215,8854,26,0
27,3,7,3,2666360,1223434,2872,27,0
28,230,4,2,2675841,1216025,845,28,3
29,230,3,0,2649028,1171093,6831,29,2
30,3,2,1,2630951,1210826,-798,30,6
31,3,9,0,2652012,1190602,7981,31,5
32,1,6,7,2609144,1245169,8711,32,1
33,3,3,4,2696433,1170488,4478,33,3
34,2,8,2,2665497,1209267,4906,34,0
35,3,2,7,2661411,1170699,5999,35,1
36,230,5,2,2656826,1187589,6611,36,3
37,10,4,6,2642311,1245501,9811,37,0
38,10,8,6,2636781,1153616,6060,38,1
39,230,9,5,2605643,1185424,-103,39,0
40,1,5,2,2643554,1185789,7912,40,1
41,230,6,1,2690301,1228281,497,41,3
42,2,2,1,2645159,1249373,4642,42,5
43,1,1,9,2611347,1172852,2990,43,5
44,3,4,6,2626234,1230355,9662,44,7
45,230,0,3,2667137,1219685,1226,45,6
46,2,2,1,2655072,1156468,6417,46,9
47,1,3,7,2651885,1239422,4414,47,8
48,3,3,1,2625846,1217263,2226,48,2
49,230,3,3,2615203,1172848,9420,49,9
50,3,9,6,2652592,1162382,2675,50,9
51,2,1,9,2690412,1238212,5822,51,5
52,230,1,9,2640060,1237251,589,52,7
53,3,7,2,2640107,1204752,5811,53,7
54,230,8,4,2614208,1212829,405,54,0
55,2,3,0,2685021,1239843,6297,55,1
56,1,6,6,2690508,1203848,9704,56,8
57,3,0,4,2664549,1174401,7082,57,1
58,1,3,6,2655202,1212031,6925,58,8
59,3,1,1,2675533,1168757,2981,59,7
60,2,6,4,2687192,1229794,3524,60,2
61,3,3,6,2630254,1249313,9795,61,0
62,2,2,1,2620689,1165228,5074,62,0
63,3,9,0,2609292,1232141,211,63,4
64,2,9,8,2605948,1229492,2944,64,5
65,2,4,2,2672198,1231049,5307,65,1
66,3,0,8,2671901,1216624,143,66,3
67,1,5,2,2625863,1213125,-223,67,9
68,2,3,3,2603484,1210014,4485,68,3
69,10,4,6,2666912,1213055,6565,69,5
70,3,7,0,2637621,1204375,7385,70,7
71,10,0,9,2668679,1151805,197,71,7
72,10,4,0,2662033,1154164,7092,72,4
73,2,0,7,2629970,1163039,3263,73,8
74,2,3,6,2607656,1195320,6731,74,8
75,230,4,7,2664668,1175555,1682,75,6
76,230,8,7,2692960,1152778,4145,76,2
77,10,4,2,2606130,1240002,3063,77,6
78,10,4,8,2638246,1181040,7398,78,7
79,1,4,0,2620690,1204602,8307,79,3
80,1,6,3,2695089,1234875,1517,80,7
81,1,7,8,2662107,1188394,4987,81,6
82,230,0,2,2678783,1202153,4003,82,6
83,230,3,1,2658160,1193889,7738,83,3
84,2,3,9,2606791,1234260,3971,84,3
