HHNR,gesl,f40120,f81300,A_X,A_Y,alter,f81400,noga_08,sprache,f40800_01,f41100_01,nation,f40920,WP,f41000a,f41000b,f41000c,A_BFS,f42100e,f41600_01a,f41600_01b,f41600_01c,f41001a,f41001b,f41001c,f20400a
0,2,9,3,2697626,1185625,40,0,5,2,2,1,6,100.0,2,1,3,12,5,3,1,2,2,32,13,1,9
1,2,7,3,2636704,1213338,47,0,3,4,2,3,5,100.0,6,11,22,2,9,3,1,1,1,22,13,12,4
2,1,7,2,2648899,1160277,41,61,13,1,5,1,7,100.0,1,12,11,13,1,2,1,1,2,3,1,12,6
3,2,9,3,2696701,1220111,89,0,60,1,5,1,0,100.0,3,12,1,13,2,2,2,2,2,1,12,11,0
4,2,6,3,2622399,1220264,76,0,56,4,5,3,1,100.0,0,12,12,12,3,1,2,2,2,32,32,32,2
5,1,8,2,2694524,1237135,43,77,8,4,4,3,9,100.0,6,13,1,11,7,3,1,1,2,11,32,22,0
6,1,2,2,2603835,1166566,61,18,64,4,3,2,5,100.0,5,22,12,1,0,2,2,1,1,32,11,1,2
7,2,3,1,2628704,1224224,34,88,87,1,5,1,6,100.0,3,32,22,22,1,3,1,2,2,1,1,12,2
8,2,2,2,2668723,1154465,21,54,68,3,4,3,0,100.0,6,1,13,11,3,3,1,2,1,22,1,13,3
9,1,1,3,2628045,1178382,70,0,60,3,5,1,8,100.0,9,1,32,3,2,2,1,2,1,22,12,3,2
10,2,9,3,2672207,1159088,59,0,91,3,2,1,2,100.0,8,3,11,32,1,3,1,1,1,11,13,12,6
11,1,7,2,2656403,1211530,88,43,9,1,4,2,6,100.0,1,32,13,32,5,3,2,2,1,11,32,22,5
12,2,9,2,2625945,1197247,78,95,9,1,-99,1,8,100.0,1,22,13,1,0,3,1,1,1,11,32,2,5
13,2,3,2,2668338,1223900,24,30,6,4,2,2,3,100.0,2,11,13,2,8,3,2,1,1,11,12,22,2
14,2,1,3,2642250,1244666,77,0,91,3,-99,3,6,100.0,1,22,22,32,9,1,1,2,1,12,13,13,8
15,2,4,1,2619348,1170106,46,31,94,2,1,3,8,100.0,2,3,22,13,4,3,1,2,1,32,11,1,4
16,1,1,2,2602294,1180816,55,81,90,3,5,2,2,100.0,6,1,13,32,4,2,1,2,1,32,32,2,2
17,1,2,3,2632402,1159720,73,0,68,1,1,1,2,100.0,3,2,3,3,8,3,2,2,2,3,22,32,0
18,2,8,2,2648966,1163605,15,35,62,4,3,2,6,100.0,0,32,2,12,3,2,1,2,1,1,12,12,1
19,1,7,2,2643232,1249922,66,81,1,4,1,1,7,100.0,3,1,22,32,7,1,2,1,2,1,32,1,6
20,2,4,3,2682899,1213542,65,0,45,3,1,3,0,100.0,1,3,11,1,8,3,2,2,2,13,12,3,1
21,2,9,3,2632326,1210782,29,0,11,3,1,2,3,100.0,4,3,2,12,7,2,1,2,1,13,2,12,9
22,2,8,2,2698227,1220624,13,26,65,1,1,1,9,100.0,9,32,3,1,4,3,2,1,2,2,1,22,8
23,1,5,3,2669726,1159431,63,0,50,1,5,2,2,100.0,3,13,13,22,2,2,2,2,1,12,22,3,2
24,1,1,1,2691749,1219715,70,82,11,4,4,2,4,100.0,3,12,12,22,7,1,2,1,1,3,32,11,3
25,1,3,1,2639622,1229129,52,85,92,1,1,3,8,100.0,0,11,11,2,7,2,1,2,1,12,22,22,9
26,2,3,1,2690275,1182914,24,33,5,1,4,3,6,100.0,9,3,13,11,4,1,1,2,2,13,1,12,6
27,2,7,2,2657528,1184164,81,61,91,1,3,2,5,100.0,1,22,12,3,0,2,2,2,1,3,12,11,5
28,2,8,1,2631916,1156566,16,78,45,3,-99,1,2,100.0,7,1,32,11,7,1,1,2,2,22,32,3,9
29,2,6,3,2606166,1210502,46,0,90,3,-99,3,2,100.0,1,3,3,13,6,3,1,2,2,12,32,22,5
30,1,5,3,2675105,1249333,47,0,91,1,-99,1,3,100.0,6,22,1,3,8,2,2,2,2,3,1,2,3
31,1,7,3,2680271,1189478,37,0,93,3,5,3,6,100.0,0,22,22,22,0,1,2,1,1,12,11,3,0
32,2,6,1,2603670,1185901,50,92,59,4,4,2,5,100.0,6,13,12,3,0,3,1,1,2,32,1,13,9
33,1,2,3,2660058,1179675,81,0,51,2,5,1,8,100.0,6,32,32,32,8,3,1,1,1,11,32,11,4
34,2,7,3,2686601,1175987,71,0,2,3,2,2,8,100.0,0,12,2,3,0,2,1,2,1,11,12,2,1
35,2,1,3,2695378,1245188,35,0,65,1,-99,2,4,100.0,1,32,12,3,4,1,1,2,1,22,2,13,2
36,2,4,1,2646841,1217217,61,93,96,1,2,1,7,100.0,6,3,22,22,0,1,1,2,2,1,2,13,2
37,2,8,2,2604070,1172271,74,1,45,3,4,1,6,100.0,0,11,11,1,8,2,1,1,1,3,3,13,8
38,1,5,1,2623031,1207168,84,58,88,1,4,3,8,100.0,9,32,12,3,5,1,1,1,2,12,12,22,0
39,2,8,1,2650152,1172634,26,80,1,3,-99,2,0,100.0,1,11,32,11,6,3,1,2,2,1,11,3,4
40,2,4,3,2601423,1220720,32,0,91,2,4,2,8,100.0,9,22,22,3,9,1,2,1,1,22,22,32,9
41,2,2,3,2610719,1201976,72,0,97,3,5,2,3,100.0,1,3,2,32,8,3,1,1,2,13,12,3,6
