HHNR,alter
0,62
1,74
2,50
3,76
4,12
5,48
6,25
7,45
8,83
9,72
10,29
11,40
12,12
13,58
14,84
15,65
16,31
17,76
18,83
19,56
20,67
21,34
22,57
23,32
24,31
25,42
26,78
27,68
28,64
29,51
30,22
31,18
32,82
33,28
34,49
35,65
36,60
37,11
38,56
39,12
40,23
41,74
42,40
43,11
44,65
45,32
46,86
47,33
48,23
49,61
50,41
51,52
52,42
53,31
54,46
55,38
56,65
57,29
58,57
59,33
60,29
61,13
62,62
63,38
64,31
65,82
66,13
67,31
68,74
69,55
70,77
71,15
72,57
73,82
74,82
75,16
76,39
77,82
78,63
79,85
80,75
81,55
82,76
83,77
84,23
85,53
86,76
87,55
88,43
89,37
90,84
91,70
92,60
93,86
94,30
95,66
96,10
97,31
98,76
99,57
100,21
101,30
102,28
103,13
104,38
105,32
106,66
107,81
108,84
109,53
110,16
111,10
112,77
113,43
114,43
115,45
116,24
117,77
118,58
119,22
120,52
121,71
122,84
123,12
124,26
125,73
126,65
127,36
128,22
129,84
130,36
131,39
132,57
133,42
134,71
135,44
136,39
137,21
138,76
139,66
140,52
141,27
142,26
143,85
144,84
145,64
146,48
147,42
148,23
149,60
150,32
151,50
152,88
153,14
154,14
155,24
156,74
157,68
158,52
159,10
160,49
161,67
162,43
163,53
164,82
165,66
166,78
167,49
168,63
169,39
170,17
171,78
172,55
173,52
174,78
175,39
176,59
177,59
178,79
179,36
180,70
181,12
182,22
183,39
184,14
185,52
186,75
187,18
188,18
189,10
190,22
191,16
192,23
193,74
194,27
195,41
196,48
197,38
198,29
199,13
200,11
201,26
202,28
203,27
204,85
205,46
206,47
207,71
208,69
209,29
210,86
211,12
212,70
213,44
214,49
215,27
216,48
217,52
218,42
219,62
220,25
221,71
222,77
223,14
224,17
225,41
226,24
227,72
228,71
229,79
230,33
231,13
232,71
233,61
234,39
235,78
236,38
237,89
238,21
239,33
240,44
241,26
242,53
243,31
244,13
245,83
246,56
247,65
