HHNR,alter
0,43
1,77
2,41
3,65
4,82
5,33
6,84
7,43
8,57
9,77
10,79
11,53
12,67
13,66
14,60
15,88
16,16
17,34
18,60
19,51
20,22
21,61
22,33
23,50
24,83
25,41
26,62
27,53
28,29
29,48
30,38
31,19
32,72
33,20
34,88
35,38
36,48
37,28
38,80
39,24
40,25
41,66
42,44
43,74
44,16
45,72
46,20
47,71
48,41
49,75
50,21
51,73
52,84
53,26
54,76
55,78
56,18
57,67
58,89
59,23
60,26
61,77
62,37
63,70
64,26
65,15
66,10
67,36
68,68
69,70
70,53
71,13
72,54
73,13
74,88
75,78
76,70
77,41
78,79
79,50
80,49
81,10
82,17
83,57
84,57
85,85
86,83
87,43
88,74
89,62
90,65
91,36
92,86
93,18
94,28
95,72
96,70
97,56
98,17
99,12
100,34
101,52
102,65
103,63
104,48
105,89
106,17
107,15
108,86
109,80
110,54
111,85
112,34
113,77
114,61
115,70
116,18
117,77
118,57
119,76
120,22
121,35
122,40
123,44
124,54
125,63
126,12
127,65
128,64
129,65
130,47
131,72
132,13
133,88
134,50
135,43
136,83
137,73
138,13
139,52
140,39
141,65
142,29
143,16
144,38
145,38
146,65
147,30
148,65
149,68
150,55
151,55
152,12
153,23
154,82
155,15
156,88
157,69
158,87
159,86
160,30
161,18
162,71
163,39
164,36
165,76
166,55
167,75
168,44
169,23
170,85
171,37
172,12
173,47
174,28
175,87
176,18
177,42
178,70
179,58
180,21
181,33
182,69
183,81
184,14
185,31
186,62
187,29
188,45
189,82
190,19
191,66
192,10
193,13
194,86
195,28
196,60
197,67
198,47
199,22
200,89
201,46
202,27
203,18
204,39
205,82
206,72
207,65
208,63
209,11
210,68
211,56
212,18
213,47
214,48
215,69
216,38
217,24
218,38
219,38
220,44
221,56
222,58
223,20
224,11
225,16
226,15
227,31
228,86
229,19
230,14
231,50
232,39
233,63
234,48
235,30
236,55
237,39
238,33
239,82
240,57
241,26
242,76
243,73
244,74
245,21
246,79
247,18
248,73
249,51
250,88
251,67
252,24
253,75
254,35
255,59
256,17
257,52
258,84
259,73
260,35
261,70
262,50
263,43
264,62
265,38
266,35
267,19
268,33
269,14
270,35
271,30
272,77
273,26
274,86
275,68
276,37
277,34
278,46
279,78
280,17
281,83
282,41
283,27
284,63
285,48
286,87
287,79
288,50
289,57
290,49
291,37
292,46
293,74
294,47
295,76
296,50
297,11
298,72
299,75
300,84
301,33
302,79
303,11
304,61
305,85
306,74
307,17
308,56
309,79
310,84
311,68
312,14
313,14
314,44
315,42
316,10
317,82
318,55
319,52
320,83
321,79
322,76
323,56
324,47
325,53
326,36
327,16
328,41
329,17
330,89
331,21
332,11
333,24
334,65
335,82
336,86
337,36
338,78
339,62
340,32
341,63
342,27
343,84
344,87
345,29
346,32
347,71
348,47
349,59
350,51
351,24
352,48
353,22
354,27
355,47
356,72
357,87
358,38
359,86
360,15
361,69
362,72
363,41
364,78
365,77
366,70
367,21
368,89
369,56
370,43
371,79
372,60
373,68
374,76
375,18
376,74
377,87
378,21
379,29
380,37
381,57
382,57
383,67
384,57
385,12
386,83
387,53
388,20
389,52
390,85
391,43
392,48
393,86
394,55
395,47
396,71
397,40
398,71
399,61
400,21
401,35
402,72
403,62
404,20
405,27
406,55
407,36
408,65
409,25
410,21
411,44
412,52
413,11
414,62
415,39
416,30
417,69
418,20
419,10
420,58
421,27
422,73
423,17
424,42
425,54
426,29
427,51
428,88
429,31
430,85
431,79
432,13
433,18
434,17
435,43
436,60
437,29
438,60
439,61
440,47
441,55
442,21
443,88
444,89
445,58
446,74
447,57
448,18
449,87
450,37
451,25
452,47
453,73
454,51
455,69
456,72
457,62
458,55
459,27
460,33
461,68
462,17
463,42
464,32
465,56
466,29
467,77
468,59
469,24
470,22
471,24
472,43
473,47
474,36
475,64
476,55
477,28
478,65
479,75
480,78
481,29
482,88
483,57
484,60
485,85
486,58
487,71
488,60
489,50
490,45
491,38
492,45
493,84
494,66
495,73
496,52
497,65
498,56
499,23
500,50
501,65
502,65
503,69
504,55
505,47
506,87
507,77
508,73
509,41
510,18
511,27
512,32
513,40
514,49
515,81
516,84
517,12
518,64
519,28
520,38
521,38
522,44
523,66
524,79
525,37
526,66
527,55
528,12
529,62
530,74
531,11
532,32
533,17
534,33
535,36
536,37
537,28
538,26
539,36
540,15
541,51
542,41
543,37
544,12
545,70
546,85
547,82
548,76
549,36
550,37
551,88
552,41
553,61
554,34
555,30
556,73
557,38
558,16
559,36
560,83
561,42
562,81
563,41
564,58
565,49
566,23
567,23
568,89
569,52
570,76
571,53
572,42
573,89
574,14
575,19
576,44
577,58
578,30
579,66
580,25
581,45
582,44
583,14
584,35
585,40
586,77
587,26
588,58
589,20
590,84
591,74
592,47
593,65
594,58
595,15
596,73
597,23
598,63
599,53
600,47
601,35
602,87
603,47
604,46
605,80
606,38
607,36
608,22
609,64
610,42
611,24
612,22
613,41
614,54
615,87
616,49
617,66
618,87
619,14
620,69
621,71
622,80
623,16
624,71
625,67
626,66
627,72
628,16
629,84
630,59
631,87
632,72
633,77
634,61
635,15
636,54
637,81
638,14
639,34
640,61
641,76
642,23
643,59
644,19
645,83
646,30
647,28
648,87
649,19
650,64
651,79
652,37
653,36
654,30
655,77
656,64
657,50
658,27
659,54
660,41
661,15
662,85
663,86
664,58
665,77
666,82
667,82
668,45
669,27
670,87
671,30
672,65
673,38
674,64
675,74
676,76
677,17
678,31
679,41
680,65
681,28
682,82
683,32
684,70
685,88
686,38
687,88
688,78
689,19
690,67
691,25
692,52
693,20
694,67
695,44
696,17
697,29
698,16
699,43
700,83
701,68
702,67
703,68
704,54
705,43
706,74
707,22
708,81
709,10
710,56
711,24
712,35
713,24
714,63
715,43
716,40
717,18
718,70
719,34
720,82
721,36
722,49
723,16
724,64
725,17
726,68
727,17
728,44
729,59
730,40
731,24
732,18
733,18
734,73
735,52
736,12
737,19
738,67
739,24
740,52
741,68
742,63
743,68
744,40
745,33
746,44
747,77
748,28
749,18
750,80
751,11
752,88
753,36
754,28
755,45
756,16
757,59
758,86
759,38
760,73
761,84
762,45
763,18
764,58
765,63
766,68
767,73
768,53
769,50
770,73
771,83
772,84
773,31
774,33
775,81
776,81
777,13
778,56
779,17
780,69
781,19
782,67
783,55
784,40
785,63
786,16
787,89
788,59
789,65
790,82
791,70
792,38
793,38
794,30
795,11
796,33
797,89
798,80
799,22
800,10
801,82
802,43
803,86
804,65
805,89
806,54
807,24
808,66
809,19
810,84
811,46
812,83
813,85
814,59
815,76
816,63
817,13
818,47
819,31
820,59
821,71
822,60
823,72
824,44
825,24
826,40
827,56
828,14
829,34
830,40
831,37
832,77
833,64
834,28
835,63
836,27
837,50
838,69
839,14
840,23
841,32
842,87
843,62
844,57
845,59
846,37
847,67
848,43
849,68
850,56
851,19
852,37
853,60
854,64
855,14
856,18
857,82
858,56
859,42
860,14
861,47
862,54
863,51
864,80
865,35
866,36
867,89
868,33
869,67
870,46
871,80
872,21
873,63
874,84
875,32
876,43
877,87
878,35
879,37
880,55
881,66
882,73
